Time,V1,V2,V3,V4
8312255,-33.160,-204.120,225.180,265.020
8414655,191.060,-111.900,-89.460,500.820
8517055,119.300,-536.000,884.100,-248.700
8619455,-378.180,-140.700,423.360,-630.380
8721855,-368.540,-128.980,-185.860,407.320
8824255,310.600,-917.940,913.980,-253.300
8926680,27.540,-798.300,530.720,91.740
9029055,-60.740,103.860,-653.120,-74.620
9131455,211.320,-706.660,675.160,-120.980
9233855,249.000,-411.280,209.880,415.080
9336255,-360.140,-35.640,-112.040,-383.500
9438655,51.640,-748.200,1099.300,-683.700
9541055,10.780,-282.200,116.260,2.920
9643455,282.820,-316.040,168.380,243.000
9745855,3059.140,-122.940,1545.500,25030.280
9848255,12702.800,1356.360,1914.660,131087.280
9950654,11006.320,1114.620,3060.220,120346.420
10053054,12714.220,1221.720,6565.620,153047.740
10155455,15181.360,2353.000,7767.000,168308.740
10257854,18241.160,3157.200,9355.220,180305.440
10360254,18079.620,2653.040,11244.960,186126.080
10462655,17721.220,3503.300,9625.600,189111.320
10565054,20076.360,3601.020,13706.920,191538.440
10667455,21449.340,4974.220,17236.800,201337.300
10769854,24280.140,5490.680,20641.080,222947.940
10872254,28782.640,6206.980,22947.280,248145.620
10974655,32667.980,6846.120,24262.560,271580.700
11077055,34359.140,6498.860,26237.380,290728.200
11179454,35515.640,6349.200,25946.400,299930.400
11281854,35633.000,6441.140,24774.780,313352.560
11384254,35464.280,5084.760,24065.140,325617.480
11486654,36472.140,5562.560,21828.820,339717.500
11589054,35985.320,5537.900,21085.020,338215.260
11691454,35407.140,5350.560,21661.400,334081.320
11793854,34407.660,4888.360,22059.480,334086.640
11896254,34669.120,5402.720,20782.680,336249.640
11998655,34547.700,5007.560,20437.860,329974.260
12101054,34456.500,5159.340,19585.780,329306.000
12203454,34213.580,4219.640,20819.220,327323.080
12305854,32654.120,4955.260,19396.660,326186.460
12408254,33486.940,4488.320,18866.100,322921.140
12510655,34144.120,4507.920,18519.280,322068.920
12613054,33741.860,4455.500,18516.360,320045.300
12715454,33464.180,4083.660,18824.020,314390.220
12817854,33338.020,4407.880,17998.320,312693.760
12920254,33567.900,3836.540,18147.520,308964.000
13022655,32757.960,3628.420,17358.060,306604.060
13125054,32166.120,3579.540,16676.940,305154.080
13227454,32758.380,3240.120,17060.400,301145.180
13329854,32589.140,3880.680,16430.900,297049.380
13432254,33539.700,3572.920,15513.080,291380.380
13534655,32943.320,3906.500,14894.060,289251.260
13637055,30575.060,3388.480,14315.640,277982.740
13739455,26705.260,2693.580,14362.000,257118.020
13841854,23851.420,2694.340,11842.060,230908.700
13944254,17299.880,604.840,10272.400,183210.300
14046655,9830.140,-527.360,8317.900,128342.920
14149054,995.740,-1241.540,490.100,17736.740
14251456,-256.400,-1014.820,400.000,-371.700
14353856,101.620,-494.020,672.540,-157.280
14456255,-124.140,-630.380,892.860,-1541.180
14558655,154.660,-313.900,273.760,201.420
14661055,55.580,-988.160,816.620,-1174.320
14763455,345.280,-829.140,842.180,-1583.720
14865855,939.200,-1388.800,1517.960,-1406.080
14968255,1372.500,-1877.700,1597.260,-1540.800
15070654,2351.780,-3008.560,3103.840,-2506.700
15173055,2093.500,-2485.500,2174.360,-3459.840
15275455,2478.080,-2397.340,2304.260,-2007.100
15377855,2212.600,-2942.380,2980.340,-2475.020
15480255,2834.440,-2526.440,2271.120,-2104.620
15582655,2480.740,-2856.360,3685.460,-4007.140
15685055,1963.460,-3004.020,2775.120,-2244.760
15787455,2694.680,-3158.260,2807.160,-2812.920
15889854,2562.920,-2419.140,2581.580,-2276.920
15992255,2153.500,-2266.840,2622.600,-3644.320
